241,104,0,Oh you found John Spencer! Well spotted.
0,77,0,Here's a constellation for you, Jolly Yau.
0,25,0,Angus McInnes. This is a constellation for him. Tell him I said hi.
0,80,0,I heard David Bell's daughter Edie loves unicorns. Here's one for you, Edie.
0,0,0,To err is human... to really foul up requires the root password.
0,0,0,There are 10 types of people in the world: those who understand binary, and those who don't.
0,0,0,The nice thing about standards is that there are so many to choose from.
0,0,0,Nondeterminism means never having to say you are wrong.
0,0,0,Baruch's Observation: If all you have is a hammer, everything looks like a nail.
0,0,0,Long computations which yield zero are probably all for naught.
0,0,0,Imagination is more important than knowledge. --Einstein
0,0,0,Did you know... That no-one ever reads these things?
0,0,0,The universe is made of stories, not of atoms. -- Muriel Rukeyser
0,0,0,Keep hands and feet away from moving parts at all times.
0,0,0,Do not use while operating a motor vehicle or heavy machinery.
0,0,0,The biggest difference between time and space is that you can't reuse time. -- Merrick Furst
0,0,0,There are bugs and then there are bugs.  And then there are bugs. -- Karl Lehenbauer
0,0,0,No one regards what is before his feet; we all gaze at the stars. -- Quintus Ennius
0,0,0,Oh, you spotted me! How clever you are!
0,0,0,There is hopeful symbolism in the fact that flags do not wave in a vacuum. -- Arthur C. Clarke
0,0,0,The important thing is not to stop questioning.
0,0,0,You can stop looking. Nothing to see here.
0,0,0,Due to circumstances beyond your control, you are master of your fate and captain of your soul.
0,0,0,If you can dance and be free and not be embarrassed, you can rule the world. - Amy Poehler
0,0,0,Be messy and complicated and afraid and show up anyways. - Glennon Doyle Melton
0,0,0,What you do makes a difference, and you have to decide what kind of difference you want to make. - Jane Goodall
0,0,0,Your best and wisest refuge from all troubles is in your science. - Lady Ada Lovelace
0,0,0,I have got a scheme about a steam engine. - Lady Ada Lovelace
0,0,0,Am I too imaginative for you? I think not. - Lady Ada Lovelace
0,0,0,I am the mother of all things, and all things should wear a sweater.
0,0,0,All that glitters has a high refractive index.
0,0,0,If a circuit board tells a joke and there's no one around to read it, is it still on?
0,0,0,Shoot for the moon. Even if you miss, you'll land among the stars. -- Norman Vincent Peale
0,0,0,For my part I know nothing with any certainty. But the sight of the stars makes me dream. -- Vincent Van Gogh
0,0,0,We are all of us stars, and we deserve to twinkle. -- Marilyn Monroe
